reference_transcriptions,generated_transcriptions
long long ago i got myself horses and three horses," Long, long ago, it's got a, it's got myself a one horse. Horses, and three horses."
roping heeling heeling," I wrote them. Healing, healing."
got a heeling rope," He like a, got a healing rope."
i think firstnames and firstnamet rope, I think Scott and Tim Rope.
heeling, Healing?
heeling, healing
i mean heeling," I mean, like a healing..."
horses, horses
go fort worth stock stock show, We were at the Fort Worth Stock Show.
or rinden, or a... Rendon?
or, or
just firstnames myself," Just Scott, myself."
just hay and, Just hay and...
i see myself just happy, I see myself just happy.
just happy, just happy.
yeah, Yeah.
stroke no," uh, stroke now."
no more," Uh, uh, uh, no more."
stroke, Choke.
i think just a word like heeling and roping, I think just a word like a healing and roping
and it's like a cow, And it's like a cow.
healing and and then foot, Healing and then foot.
you you know what i'm saying, I know what you mean.
i know, I don't know.
okay, Thank you.
okay, Okay.
the the ball is kicking, the ball is kicking
the ball is breaking a glass, The ball is breaking glass.
a man, Amen.
a couch, a couch.
a ball is glass a crack, A ball is class A crack.
and table, and table.
man is shattered a ball, a man is shattered of all
and boy, And boy.
the woman and boy is a umbrella," the man, I mean the woman and boy is a umbrella."
no, No.
the woman and boy is umbrella yes," The woman and boy is umbrella, yes."
i think no, I think no.
the boy is raining a wet, The boy is raining a wet.
the boy is raining a thunder, The boy is raining a thunder.
the woman and boy, the woman and boy
boy is wet, boy is wet.
the boy is umbrella, the boy is umbrella
rain no more, Rain no more.
the man a ladder a cat, Um... The man... A... Ladder... A... Cat.
man a fall down, a fall down.
the girl a tree, the girl a tree.
the dog is ruffo, The dog is rough.
i mean," I mean,"
and and fireman two fireman a ladder, and fireman to fireman a ladder.
a a ladder, a a ladder
well yeah yeah yeah i think so," Yeah, I think so."
i think so but, I think so.
okay, Okay.
okay, Okay.
okay, Okay.
the the woman and two girls angry and one girl nice, the the woman and to and to girls angry and one girl nice
a a cleaning, a a cleaning
a big one house, a big one
a the woman and two girls go home, A. The woman and two girl go
the one girl nice, the one girl nice
four mice in dress dress and shoes," a mice for mice, um, and dress, and shoes."
and a the grand grand woman, and a the uh... grand grand woman
the the, the
anyway the and a, anyway and
and then a horse and horse, and then a horse and
think four horses, I think four horse.
and and girl go, And we will go.
music," Um, music."
and then the the man and woman," And then the man, or the, I think the man and woman,"
man and woman nice, man is man and woman nice.
twelve p m, 12 oh
man woman go," man, woman, go."
and then, and then
twelve a m," 12 a.m.,"
and then a, and then I
oh man," Oh, man."
i know, I know.
the the woman twelve a m no way dirty dirty," Um, the woman, 12 AM, no way, uh, dirty, dirty."
and a a a man a glass shoes shoe," Um, and, um, a, um, a, a man, a glass, um, shoes, shoes."
and then," And then, um,"
and the woman shoes, and the woman
no, No.
two shoes, Two.
no, No.
the three nice fit, the three nice fit
up hooray, Hooray.
okay, Tell me how...
okay, Okay.
peanut and jelly, peanut and jelly.
open the door, open the door
bread two bread down, of bread to bread
and kitchen, And freak.
door open the door, Open the door.
a jelly and peanut butter, a jelly and peanut butter
and knife, and knife.
jelly and peanut butter and jelly, jelly and peanut butter and jelly
and one two," in one, two,"
and eating, and eating
it's better, It's better.
they still all get more to d, I still get more to date.
yeah yeah, Yeah.
i remember when i got it, I remember when I got
i was home," I was in the, I was home."
and not mom," And the mom, I mean not mom,"
me me and not a friend," A man, a man, a band—a band, not a fan."
me and her were talking, and me and her were talking.
and all of a sudden i couldn't talk," And all of a sudden, I couldn't talk."
and so she knew, And so she knew.
she just knew because her brother had it, She just knew because her brother had it.
so she called," So, she called."
and she called, and he called
and then she come, and they can count
she was three years, he was like um do you
he was in his house very long," And he was in her house, and that house was pretty long."
he came, because he came
she was there, He was here.
and and it's so funny, And it's so funny.
i kept myself in the end e, I kept myself in the inn.
just to enough to get the dog in a ja, just enough to get the dog in
and after that i don't remember anything," And after that, I don't remember anything."
yeah and then i said, Yeah.
yeah, Yeah.
and and i don't remember anything after that for two days two," And I don't remember anything after that for two,"
yeah, Yeah.
and then i i i i knew what was going on, and then I knew what was going on.
i just didn't understand what they were, I just didn't understand what they were
i mean i know just didn't know what they were talking about," I mean, I just didn't know what they were talking about."
i mean they just you know," I mean, they just, you know,"
yeah they didn't know any," Yeah, I mean, they didn't know any."
i mean all they told me so far onewas just one thing so i could talk to," I mean, all they told me so far was one talk to Doc was just one thing so I could talk"
wasn't even there, but even there
i mean i just wasn't anything for me," I mean, I just wouldn't eat anything for my life. Everything, anything for me."
there was no, There was no...
hmhm, Mm-mm.
no, Now.
it was all just, It was all just
no no, No. No.
and i don't know, And I don't know.
now i think about it, now I think about
i don't know what made me realize that i can't, I don't know what made me realize that I can't.
i don't remember, I don't remember.
i just know that i started totally seeing you know going in and," I just know that I started totally, you know, going in and"
they started checking on me, They started dicking on me.
and i started totally starting little bit," and I started, it's overly certain, a little bit."
but there were a lot of things like my name, But there were a lot of things like my name
just i mean i just now you know my name," I mean, I just now, you know,"
and that was it you know," And that was it, you know."
and i they never could, and they were good.
some people seeking get real easy," Some people, see, can get real bad easy."
but me, me
yeah, Yeah.
and and then the other name," And my name, and then my name, and then my name, and my name,"
i mean the other thing they wanna know is my the, I mean the other thing they want to know is my
i don't remember, I don't remember.
i can't remember a lot of things, I can't remember a lot of things.
i guess it, and I guess I guess it
and so totally totally i've been totally doing it," So, it's been every, I mean totally, solely, I've been solely doing it."
i mean totally they've been," I mean, early they've been..."
i don't know," Um, I don't know."
i now that you think about it i don't know, and then if you think about it I don't know
i don't know, I don't know.
okay, Okay.
is it, Is it?
